amount,hour,isWeekend,daysSinceLastTransaction,merchantCategory,userActivityLevel,amountVelocity,timeOfDayRisk,merchantRiskScore,isRoundAmount,isFraud,fraudPattern,transactionID,userID,merchantID
286.11,14,0,0,1,2,2861.1,1,1,0,False,none,1801,21,M467
133.17,14,0,0,7,1,1331.6999999999998,1,1,0,False,none,1802,15,M380
1544.09,14,0,0,5,5,15440.899999999998,1,1,0,False,none,1803,19,M510
1269.09,14,0,0,0,5,12690.899999999998,1,1,0,False,none,1804,19,M860
42.94,14,0,0,2,4,429.4,1,3,0,False,none,1805,13,M440
227.57,14,0,0,8,2,2275.7,1,1,0,False,none,1806,21,M964
19.54,14,0,0,1,4,195.39999999999998,1,1,0,False,none,1807,8,M926
476.28,14,0,0,4,3,4762.799999999999,1,1,0,False,none,1808,2,M716
96.69,14,0,0,6,1,966.9,1,1,0,False,none,1809,5,M987
88.37,14,0,0,9,1,883.7,1,1,0,False,none,1810,5,M786
134.42,14,0,0,6,2,1344.1999999999998,1,1,0,False,none,1811,6,M580
521.2,14,0,0,6,3,5212.0,1,1,0,False,none,1812,2,M435
150.99,14,0,0,5,2,1509.9,1,1,0,False,none,1813,6,M778
2.0,14,0,0,6,4,20.0,1,1,0,False,none,1814,18,M977
31.47,14,0,0,4,5,314.7,1,3,0,False,none,1815,4,M390
21.21,14,0,0,5,2,212.1,1,1,0,False,none,1816,11,M415
362.23,14,0,0,7,2,3622.3,1,2,0,False,none,1817,1,M629
122.12,14,0,0,0,2,1221.2,1,1,0,False,none,1818,6,M102
112.69,14,0,0,0,5,1126.8999999999999,1,1,0,False,none,1819,9,M332
119.77,14,0,0,9,1,1197.6999999999998,1,2,0,False,none,1820,5,M646
522.62,14,0,0,3,5,5226.2,1,1,0,False,none,1821,24,M327
48.27,14,0,0,1,2,482.7,1,1,0,False,none,1822,16,M699
193.05,14,0,0,8,3,1930.5,1,2,0,False,none,1823,7,M861
97.65,14,0,0,8,1,976.5,1,1,0,False,none,1824,5,M279
68.09,14,0,0,2,1,680.9,1,1,0,False,none,1825,5,M504
361.18,14,0,0,0,2,3611.7999999999997,1,1,0,False,none,1826,1,M406
15.63,14,0,0,2,2,156.3,1,1,0,False,none,1827,11,M504
31.45,14,0,0,5,5,314.5,1,1,0,False,none,1828,24,M290
4.11,14,0,0,9,4,41.1,1,1,0,False,none,1829,18,M668
160.14,14,0,0,8,1,1601.3999999999999,1,1,0,False,none,1830,10,M297
233.93,14,0,0,0,2,2339.2999999999997,1,3,0,False,none,1831,21,M695
54.39,14,0,0,5,5,543.9,1,1,0,False,none,1832,9,M764
91.23,14,0,0,7,5,912.3,1,1,0,False,none,1833,9,M688
109.55,14,0,0,3,1,1095.5,1,1,0,False,none,1834,25,M684
99.2,14,0,0,4,1,992.0,1,1,0,False,none,1835,25,M679
14.12,14,0,0,8,4,141.2,1,1,0,False,none,1836,8,M601
480.86,14,0,0,2,5,4808.599999999999,1,1,0,True,location_jump,1837,14,M915
75.73,14,0,0,5,1,757.3,1,1,0,False,none,1838,25,M299
28.24,14,0,0,4,4,282.4,1,3,0,False,none,1839,23,M657
209.35,14,0,0,1,5,2093.5,1,3,0,False,none,1840,9,M551
74.19,14,0,0,1,1,741.9,1,1,0,False,none,1841,5,M233
151.76,14,0,0,1,1,1517.6,1,1,0,False,none,1842,10,M834
289.02,14,0,0,5,2,2890.2,1,2,0,False,none,1843,21,M564
103.05,14,0,0,9,5,1030.5,1,2,0,False,none,1844,14,M590
324.04,14,0,0,3,3,3240.4,1,1,0,False,none,1845,7,M910
359.1,14,0,0,8,2,3591.0,1,1,0,False,none,1846,1,M371
567.3,14,0,0,6,3,5672.999999999999,1,2,0,False,none,1847,2,M686
114.67,14,0,0,7,2,1146.7,1,1,0,False,none,1848,6,M311
100.57,14,0,0,5,1,1005.6999999999999,1,1,0,False,none,1849,15,M845
49.61,14,0,0,6,4,496.09999999999997,1,1,0,False,none,1850,13,M378
85.85,14,0,0,1,4,858.4999999999999,1,1,0,True,rapid_succession,1851,13,M937
233.51,14,0,0,9,3,2335.1,1,1,0,False,none,1852,7,M417
18.81,14,0,0,0,4,188.09999999999997,1,1,0,False,none,1853,8,M671
19.14,14,0,0,8,4,191.4,1,1,0,False,none,1854,23,M308
474.07,14,0,0,6,3,4740.7,1,2,0,False,none,1855,2,M457
41.97,14,0,0,0,5,419.7,1,1,0,False,none,1856,24,M921
215.12,14,0,0,6,2,2151.2,1,1,0,False,none,1857,21,M717
107.7,14,0,0,8,1,1077.0,1,1,0,False,none,1858,25,M449
339.34,14,0,0,4,1,3393.3999999999996,1,1,0,False,none,1859,20,M793
47.45,14,0,0,8,2,474.5,1,1,0,False,none,1860,16,M296
119.0,14,0,0,8,5,1190.0,1,1,0,False,none,1861,14,M524
150.16,14,0,0,3,5,1501.6,1,2,0,False,none,1862,9,M411
208.17,14,0,0,0,1,2081.7,1,1,0,False,none,1863,20,M141
1569.32,14,0,0,7,5,15693.199999999999,1,1,0,False,none,1864,19,M688
691.98,14,0,0,7,3,6919.8,1,1,0,False,none,1865,22,M206
117.95,14,0,0,2,5,1179.5,1,1,0,False,none,1866,14,M364
363.5,14,0,0,8,2,3635.0,1,2,0,False,none,1867,1,M647
504.47,14,0,0,9,3,5044.7,1,2,0,False,none,1868,2,M813
542.41,14,0,0,3,3,5424.099999999999,1,1,0,False,none,1869,22,M888
306.59,14,0,0,2,3,3065.8999999999996,1,1,0,False,none,1870,7,M489
425.18,14,0,0,4,5,4251.8,1,1,0,True,unusual_item,1871,14,M923
4.03,14,0,0,7,4,40.3,1,1,0,False,none,1872,18,M587
81.42,14,0,0,1,3,814.1999999999999,1,3,0,False,none,1873,12,M211
122.39,14,0,0,5,5,1223.8999999999999,1,2,0,False,none,1874,14,M916
481.36,14,0,0,3,3,4813.599999999999,1,1,0,False,none,1875,22,M258
36.62,14,0,0,3,4,366.19999999999993,1,1,0,False,none,1876,3,M432
12.24,14,0,0,9,4,122.39999999999999,1,1,0,False,none,1877,23,M151
256.52,14,0,0,2,3,2565.2,1,1,0,False,none,1878,7,M450
5.0,14,0,0,4,5,50.0,1,1,0,False,none,1879,24,M969
388.92,14,0,0,8,5,3889.2,1,1,0,False,none,1880,4,M866
132.43,14,0,0,4,3,1324.3,1,1,0,False,none,1881,17,M137
346.47,14,0,0,5,1,3464.7000000000003,1,2,0,False,none,1882,20,M200
22.23,14,0,0,4,2,222.29999999999998,1,1,0,False,none,1883,11,M923
1766.56,14,0,0,8,5,17665.6,1,2,0,False,none,1884,19,M859
324.27,14,0,0,9,1,3242.7,1,1,0,False,none,1885,20,M484
135.64,14,0,0,3,5,1356.3999999999999,1,1,0,False,none,1886,14,M322
627.85,14,0,0,5,3,6278.5,1,1,0,False,none,1887,2,M182
72.11,14,0,0,4,3,721.0999999999999,1,2,0,False,none,1888,12,M615
68.09,14,0,0,9,4,680.9,1,1,0,False,none,1889,13,M157
369.68,14,0,0,5,2,3696.7999999999997,1,2,0,False,none,1890,1,M564
136.25,14,0,0,1,5,1362.5,1,1,0,False,none,1891,14,M892
135.54,14,0,0,8,2,1355.3999999999999,1,1,0,False,none,1892,6,M759
6.33,14,0,0,8,4,63.3,1,1,0,False,none,1893,18,M759
245.88,14,0,0,1,3,2458.7999999999997,1,1,0,False,none,1894,7,M368
71.0,14,0,0,8,1,710.0,1,1,0,False,none,1895,15,M459
180.0,14,0,0,3,5,1800.0,1,1,1,False,none,1896,14,M307
226.11,14,0,0,0,1,2261.1,1,1,0,False,none,1897,10,M806
50.51,14,0,0,0,4,505.09999999999997,1,1,0,False,none,1898,13,M114
227.22,14,0,0,3,3,2272.2,1,1,0,False,none,1899,7,M821
56.31,14,0,0,4,1,563.1,1,1,0,False,none,1900,5,M202
45.0,14,0,0,8,2,450.0,1,1,0,False,none,1901,16,M229
1401.27,14,0,0,4,5,14012.699999999999,1,1,0,False,none,1902,19,M670
34.33,14,0,0,2,4,343.29999999999995,1,1,0,False,none,1903,23,M645
96.63,14,0,0,6,3,966.3,1,2,0,False,none,1904,12,M693
203.5,14,0,0,2,1,2035.0,1,1,0,False,none,1905,10,M348
640.54,14,0,0,5,3,6405.4,1,1,0,False,none,1906,22,M753
197.95,14,0,0,2,1,1979.4999999999998,1,1,0,False,none,1907,10,M450
69.92,14,0,0,4,1,699.1999999999999,1,3,0,False,none,1908,25,M215
39.93,14,0,0,8,4,399.29999999999995,1,1,0,False,none,1909,3,M478
33.67,14,0,0,6,5,336.7,1,1,0,False,none,1910,4,M853
31.98,14,0,0,0,4,319.8,1,1,0,False,none,1911,3,M506
104.08,14,0,0,4,5,1040.8,1,1,0,False,none,1912,9,M808
156.79,14,0,0,0,1,1567.8999999999999,1,1,0,False,none,1913,20,M161
63.22,14,0,0,8,1,632.1999999999999,1,1,0,False,none,1914,5,M296
164.22,14,0,0,0,3,1642.1999999999998,1,1,0,False,none,1915,17,M860
14.33,14,0,0,2,4,143.29999999999998,1,1,0,False,none,1916,8,M890
109.0,14,0,0,8,5,1090.0,1,1,0,False,none,1917,14,M459
474.43,14,0,0,3,1,4744.3,1,1,0,False,none,1918,20,M540
23.61,14,0,0,6,5,236.1,1,1,0,False,none,1919,4,M770
78.65,14,0,0,5,1,786.5,1,1,0,False,none,1920,25,M761
29.61,14,0,0,6,4,296.09999999999997,1,1,0,False,none,1921,3,M787
21.79,14,0,0,8,4,217.89999999999998,1,1,0,False,none,1922,3,M231
543.96,14,0,0,9,3,5439.6,1,1,0,False,none,1923,22,M309
125.85,14,0,0,2,1,1258.4999999999998,1,3,0,False,none,1924,5,M464
18.11,14,0,0,7,4,181.1,1,1,0,False,none,1925,3,M740
16.83,14,0,0,5,2,168.29999999999998,1,1,0,False,none,1926,11,M593
48.03,14,0,0,8,5,480.3,1,1,0,False,none,1927,24,M229
82.21,14,0,0,8,1,822.0999999999999,1,2,0,False,none,1928,15,M861
33.97,14,0,0,7,4,339.7,1,2,0,False,none,1929,3,M263
348.18,14,0,0,4,2,3481.7999999999997,1,3,0,False,none,1930,21,M107
131.83,14,0,0,3,2,1318.3,1,1,0,False,none,1931,6,M748
329.78,14,0,0,4,2,3297.7999999999997,1,1,0,False,none,1932,1,M608
274.63,14,0,0,1,3,2746.2999999999997,1,1,0,False,none,1933,7,M619
22.27,14,0,0,5,5,222.7,1,1,0,False,none,1934,4,M372
379.18,14,0,0,8,2,3791.7999999999997,1,1,0,False,none,1935,1,M404
14.09,14,0,0,6,4,140.89999999999998,1,2,0,False,none,1936,8,M496
88.62,14,0,0,2,1,886.2,1,1,0,False,none,1937,5,M548
65.6,14,0,0,4,1,655.9999999999999,1,3,0,False,none,1938,5,M107
89.02,14,0,0,4,1,890.1999999999999,1,2,0,False,none,1939,5,M904
20.0,14,0,0,5,5,200.0,1,2,1,False,none,1940,9,M251
13.24,14,0,0,9,2,132.4,1,1,0,False,none,1941,11,M897
24.51,14,0,0,0,4,245.1,1,1,0,False,none,1942,23,M301
83.23,14,0,0,9,4,832.3,1,1,0,False,none,1943,13,M535
105.45,14,0,0,9,2,1054.5,1,1,0,False,none,1944,6,M213
233.08,14,0,0,0,1,2330.8,1,1,0,False,none,1945,10,M436
126.77,14,0,0,3,1,1267.6999999999998,1,1,0,False,none,1946,25,M979
17.83,14,0,0,3,2,178.29999999999998,1,1,0,False,none,1947,11,M885
100.5,14,0,0,7,1,1005.0,1,2,0,False,none,1948,25,M674
275.54,14,0,0,2,2,2755.4,1,1,0,False,none,1949,1,M185
54.99,14,0,0,6,2,549.9,1,1,0,False,none,1950,16,M788
500.09,14,0,0,5,3,5000.9,1,2,0,False,none,1951,22,M784
59.33,14,0,0,7,3,593.3,1,1,0,False,none,1952,12,M526
159.53,14,0,0,2,5,1595.3,1,1,0,False,none,1953,14,M659
2.19,14,0,0,1,4,21.9,1,3,0,False,none,1954,18,M211
38.8,14,0,0,8,5,387.99999999999994,1,1,0,False,none,1955,4,M231
146.26,14,0,0,3,2,1462.6,1,1,0,False,none,1956,6,M430
74.07,14,0,0,5,4,740.6999999999999,1,1,0,False,none,1957,13,M586
759.28,14,0,0,4,3,7592.799999999999,1,3,0,False,none,1958,2,M169
105.71,14,0,0,8,1,1057.1,1,1,0,False,none,1959,15,M413
11.58,14,0,0,5,4,115.8,1,2,0,False,none,1960,3,M315
222.64,14,0,0,2,1,2226.3999999999996,1,2,0,False,none,1961,10,M584
188.97,14,0,0,5,1,1889.6999999999998,1,1,0,False,none,1962,10,M517
618.63,14,0,0,0,3,6186.299999999999,1,1,0,False,none,1963,22,M244
186.73,0,0,0,2,1,1867.2999999999997,2,1,0,True,midnight_purchase,1964,15,M905
117.99,14,0,0,5,3,1179.8999999999999,1,1,0,False,none,1965,12,M818
127.42,14,0,0,9,2,1274.2,1,1,0,False,none,1966,6,M309
3.4,14,0,0,9,4,34.0,1,1,0,False,none,1967,18,M298
34.92,14,0,0,4,2,349.2,1,1,0,False,none,1968,11,M241
42.18,14,0,0,2,4,421.79999999999995,1,1,0,False,none,1969,23,M185
119.45,14,0,0,0,2,1194.5,1,1,0,False,none,1970,6,M332
327.68,14,0,0,1,3,3276.7999999999997,1,2,0,False,none,1971,7,M360
1449.3,14,0,0,0,5,14492.999999999998,1,1,0,False,none,1972,19,M790
602.37,14,0,0,8,3,6023.7,1,1,0,False,none,1973,22,M224
434.76,14,0,0,5,3,4347.599999999999,1,1,0,False,none,1974,22,M778
143.7,14,0,0,5,5,1436.9999999999998,1,1,0,False,none,1975,9,M831
247.94,14,0,0,0,1,2479.3999999999996,1,1,0,False,none,1976,20,M130
251.69,14,0,0,7,2,2516.8999999999996,1,1,0,False,none,1977,21,M626
163.14,14,0,0,0,5,1631.3999999999999,1,1,0,False,none,1978,9,M772
56.33,14,0,0,8,5,563.3,1,1,0,False,none,1979,24,M402
152.73,14,0,0,1,1,1527.2999999999997,1,1,0,False,none,1980,10,M275
433.31,14,0,0,8,3,4333.099999999999,1,1,0,False,none,1981,22,M454
114.27,14,0,0,5,1,1142.6999999999998,1,1,0,False,none,1982,25,M816
20.62,14,0,0,4,4,206.2,1,1,0,False,none,1983,23,M961
1214.85,14,0,0,4,5,12148.499999999998,1,3,0,False,none,1984,19,M215
582.43,14,0,0,6,3,5824.299999999999,1,1,0,False,none,1985,22,M783
28.48,14,0,0,0,4,284.8,1,3,0,False,none,1986,8,M811
148.51,14,0,0,6,5,1485.1,1,1,0,False,none,1987,14,M278
44.49,14,0,0,3,5,444.9,1,1,0,False,none,1988,24,M856
30.0,14,0,0,0,3,300.0,1,1,1,False,none,1989,12,M159
5.0,14,0,0,6,1,50.0,1,1,0,False,none,1990,20,M940
500.12,14,0,0,2,3,5001.2,1,1,0,False,none,1991,2,M425
314.0,14,0,0,8,2,3140.0,1,1,0,False,none,1992,21,M279
511.15,14,0,0,9,5,5111.499999999999,1,1,0,False,none,1993,24,M424
106.12,14,0,0,1,5,1061.2,1,3,0,False,none,1994,14,M186
68.72,14,0,0,3,5,687.1999999999999,1,1,0,False,none,1995,24,M992
67.17,14,0,0,9,1,671.6999999999999,1,1,0,False,none,1996,15,M170
144.28,14,0,0,8,2,1442.8,1,1,0,False,none,1997,6,M478
55.0,14,0,0,7,2,550.0,1,1,0,False,none,1998,16,M560
409.83,14,0,0,8,1,4098.299999999999,1,1,0,False,none,1999,20,M224
207.75,14,0,0,2,3,2077.5,1,1,0,False,none,2000,17,M890
251.03,14,0,0,4,2,2510.2999999999997,1,1,0,False,none,2001,21,M627
872.57,14,0,0,8,5,8725.7,1,1,0,False,none,2002,19,M536
81.67,14,0,0,6,4,816.6999999999999,1,1,0,True,rapid_succession,2003,13,M987
158.0,14,0,0,2,5,1580.0,1,1,0,True,duplicate_amount,2004,14,M971
147.64,14,0,0,6,2,1476.3999999999999,1,1,0,False,none,2005,6,M625
64.32,14,0,0,6,3,643.1999999999999,1,1,0,False,none,2006,12,M549
390.48,14,0,0,8,4,3904.8,1,1,0,True,sudden_spike,2007,13,M903
126.63,14,0,0,7,2,1266.3,1,1,0,False,none,2008,6,M949
57.61,14,0,0,1,5,576.0999999999999,1,1,0,False,none,2009,4,M613
22.89,14,0,0,4,4,228.9,1,1,0,False,none,2010,3,M552
96.23,14,0,0,3,1,962.3,1,1,0,False,none,2011,15,M846
489.21,14,0,0,6,3,4892.099999999999,1,1,0,False,none,2012,2,M201
182.67,14,0,0,9,2,1826.6999999999998,1,1,0,False,none,2013,6,M151
117.46,14,0,0,6,1,1174.6,1,2,0,False,none,2014,5,M970
24.59,14,0,0,9,2,245.89999999999998,1,1,0,False,none,2015,11,M786
49.88,14,0,0,2,2,498.8,1,1,0,False,none,2016,16,M232
931.98,14,0,0,8,5,9319.8,1,1,0,False,none,2017,19,M802
96.21,14,0,0,3,1,962.0999999999999,1,2,0,False,none,2018,5,M509
606.68,14,0,0,2,3,6066.799999999999,1,2,0,False,none,2019,2,M705
134.63,14,0,0,9,2,1346.3,1,1,0,False,none,2020,6,M230
17.29,14,0,0,1,4,172.89999999999998,1,1,0,False,none,2021,23,M766
125.36,14,0,0,1,5,1253.6,1,1,0,False,none,2022,9,M318
29.35,14,0,0,7,4,293.5,1,1,0,False,none,2023,3,M311
140.81,14,0,0,4,1,1408.1,1,1,0,False,none,2024,15,M650
333.54,14,0,0,4,3,3335.4,1,2,0,False,none,2025,7,M350
105.16,14,0,0,0,1,1051.6,1,1,0,False,none,2026,25,M795
172.72,14,0,0,0,5,1727.1999999999998,1,1,0,False,none,2027,9,M102
13.49,14,0,0,9,2,134.9,1,1,0,False,none,2028,11,M266
100.65,14,0,0,6,5,1006.5,1,2,0,False,none,2029,14,M398
367.04,14,0,0,6,3,3670.4,1,1,0,False,none,2030,22,M988
350.54,14,0,0,1,2,3505.4,1,1,0,False,none,2031,21,M703
2.95,14,0,0,3,4,29.5,1,1,0,False,none,2032,18,M918
112.56,14,0,0,6,3,1125.6,1,2,0,False,none,2033,12,M661
50.78,14,0,0,3,1,507.8,1,2,0,False,none,2034,10,M411
102.77,14,0,0,9,2,1027.6999999999998,1,1,0,False,none,2035,6,M230
34.74,14,0,0,8,5,347.4,1,1,0,False,none,2036,24,M319
94.43,14,0,0,9,4,944.3000000000001,1,1,0,False,none,2037,13,M897
282.58,14,0,0,7,3,2825.7999999999997,1,1,0,False,none,2038,7,M592
382.88,14,0,0,8,1,3828.7999999999997,1,1,0,False,none,2039,20,M984
633.66,14,0,0,6,3,6336.599999999999,1,2,0,False,none,2040,2,M414
411.9,14,0,0,6,1,4118.999999999999,1,2,0,False,none,2041,20,M775
7.79,14,0,0,2,4,77.89999999999999,1,1,0,False,none,2042,8,M525
5.0,14,0,0,9,1,50.0,1,2,0,False,none,2043,20,M269
193.28,14,0,0,4,3,1932.8,1,1,0,False,none,2044,7,M726
5.0,14,0,0,2,1,50.0,1,1,0,False,none,2045,20,M932
108.3,14,0,0,8,5,1083.0,1,1,0,False,none,2046,14,M598
439.65,14,0,0,6,3,4396.499999999999,1,1,0,False,none,2047,2,M883
68.89,14,0,0,4,1,688.9,1,3,0,False,none,2048,25,M215
132.39,14,0,0,4,5,1323.8999999999999,1,2,0,False,none,2049,14,M615
359.39,14,0,0,6,3,3593.8999999999996,1,2,0,False,none,2050,7,M496
187.6,14,0,0,5,3,1875.9999999999998,1,2,0,False,none,2051,17,M696
197.11,14,0,0,1,1,1971.1000000000001,1,1,0,False,none,2052,10,M453
22.47,14,0,0,1,5,224.7,1,1,0,False,none,2053,24,M638
219.22,14,0,0,4,3,2192.2,1,1,0,False,none,2054,7,M358
191.88,14,0,0,9,3,1918.8,1,1,0,False,none,2055,7,M387
42.67,14,0,0,0,5,426.7,1,1,0,False,none,2056,24,M622
90.73,14,0,0,8,3,907.3,1,1,0,False,none,2057,17,M443
526.54,14,0,0,2,3,5265.4,1,1,0,False,none,2058,2,M393
583.38,14,0,0,7,3,5833.799999999999,1,2,0,False,none,2059,22,M951
45.95,14,0,0,1,5,459.5,1,1,0,False,none,2060,4,M766
32.91,14,0,0,7,4,329.09999999999997,1,2,0,False,none,2061,3,M664
107.81,14,0,0,4,3,1078.1,1,1,0,False,none,2062,12,M408
95.29,14,0,0,4,1,952.9,1,1,0,False,none,2063,10,M969
400.0,14,0,0,8,3,4000.0,1,1,1,False,none,2064,7,M449
52.82,14,0,0,0,2,528.1999999999999,1,1,0,False,none,2065,16,M301
44.2,14,0,0,9,5,442.0,1,2,0,False,none,2066,24,M357
344.41,14,0,0,7,5,3444.1,1,1,0,False,none,2067,4,M928
226.96,14,0,0,6,3,2269.6,1,1,0,False,none,2068,7,M656
22.76,14,0,0,2,4,227.6,1,1,0,False,none,2069,23,M575
197.18,14,0,0,1,3,1971.8,1,1,0,False,none,2070,7,M620
35.46,14,0,0,4,5,354.59999999999997,1,1,0,False,none,2071,4,M726
242.12,14,0,0,8,2,2421.2,1,2,0,False,none,2072,21,M294
146.37,14,0,0,0,2,1463.7,1,1,0,False,none,2073,6,M812
3.6,14,0,0,7,4,36.0,1,1,0,False,none,2074,18,M379
235.61,14,0,0,9,1,2356.1,1,1,0,False,none,2075,10,M366
374.56,14,0,0,0,1,3745.6,1,1,0,False,none,2076,20,M108
19.47,14,0,0,9,4,194.7,1,1,0,False,none,2077,8,M557
318.06,14,0,0,0,2,3180.6,1,1,0,False,none,2078,1,M966
99.32,14,0,0,6,5,993.1999999999999,1,1,0,False,none,2079,14,M381
176.44,14,0,0,3,3,1764.3999999999999,1,1,0,False,none,2080,7,M669
322.07,14,0,0,9,2,3220.7,1,1,0,False,none,2081,21,M213
109.36,14,0,0,0,1,1093.6,1,1,0,False,none,2082,25,M806
31.76,14,0,0,4,4,317.6,1,3,0,False,none,2083,13,M636
38.27,14,0,0,7,5,382.7,1,1,0,False,none,2084,4,M178
459.6,14,0,0,1,5,4596.0,1,1,0,True,location_jump,2085,14,M942
194.57,14,0,0,1,1,1945.6999999999998,1,1,0,False,none,2086,10,M236
14.65,14,0,0,7,5,146.5,1,1,0,False,none,2087,4,M437
3.55,14,0,0,8,4,35.49999999999999,1,1,0,False,none,2088,18,M223
504.73,14,0,0,8,3,5047.3,1,1,0,False,none,2089,22,M222
31.99,14,0,0,4,2,319.9,1,2,0,False,none,2090,11,M709
106.71,14,0,0,0,1,1067.1,1,2,0,False,none,2091,5,M118
196.05,14,0,0,6,3,1960.5,1,1,0,False,none,2092,7,M956
47.16,14,0,0,6,3,471.59999999999997,1,1,0,False,none,2093,12,M250
375.42,14,0,0,8,1,3754.2,1,1,0,False,none,2094,20,M894
20.32,14,0,0,6,4,203.2,1,1,0,False,none,2095,8,M787
201.14,14,0,0,8,1,2011.3999999999999,1,2,0,False,none,2096,10,M859
290.43,14,0,0,8,3,2904.2999999999997,1,1,0,False,none,2097,17,M229
384.23,14,0,0,8,1,3842.3,1,1,0,False,none,2098,20,M469
32.84,14,0,0,9,4,328.40000000000003,1,1,0,False,none,2099,3,M213
246.59,14,0,0,7,2,2465.9,1,2,0,False,none,2100,21,M300
109.05,14,0,0,9,5,1090.5,1,1,0,False,none,2101,14,M293
72.06,14,0,0,1,1,720.6,1,1,0,False,none,2102,20,M175
5.0,14,0,0,9,1,50.0,1,1,0,False,none,2103,20,M230
525.85,14,0,0,2,3,5258.5,1,1,0,False,none,2104,22,M183
1193.75,14,0,0,9,5,11937.5,1,2,0,False,none,2105,19,M386
178.5,14,0,0,3,1,1785.0,1,1,0,False,none,2106,10,M997
18.63,14,0,0,9,4,186.29999999999998,1,1,0,False,none,2107,3,M531
63.09,14,0,0,5,1,630.9,1,1,0,False,none,2108,15,M373
393.69,14,0,0,5,2,3936.8999999999996,1,1,0,False,none,2109,21,M472
169.56,14,0,0,7,5,1695.6,1,2,0,False,none,2110,9,M955
103.55,14,0,0,1,1,1035.5,1,1,0,False,none,2111,15,M516
326.34,14,0,0,1,2,3263.3999999999996,1,1,0,False,none,2112,1,M516
43.97,14,0,0,4,3,439.7,1,1,0,False,none,2113,12,M514
51.2,14,0,0,5,3,512.0,1,1,0,False,none,2114,12,M594
79.6,14,0,0,7,3,795.9999999999999,1,2,0,False,none,2115,12,M243
351.06,14,0,0,8,2,3510.6,1,1,0,False,none,2116,21,M308
48.18,14,0,0,7,5,481.79999999999995,1,1,0,False,none,2117,24,M136
300.57,14,0,0,7,2,3005.7,1,1,0,False,none,2118,1,M569
125.07,14,0,0,9,5,1250.6999999999998,1,1,0,False,none,2119,14,M681
17.91,14,0,0,0,4,179.1,1,1,0,False,none,2120,8,M809
358.44,14,0,0,3,2,3584.3999999999996,1,1,0,False,none,2121,1,M574
51.63,14,0,0,6,2,516.3,1,2,0,False,none,2122,16,M528
92.42,14,0,0,2,1,924.1999999999999,1,1,0,False,none,2123,25,M489
299.92,14,0,0,3,1,2999.2,1,1,0,False,none,2124,10,M630
7.9,14,0,0,0,4,79.0,1,1,0,False,none,2125,8,M481
75.94,14,0,0,8,2,759.4,1,1,0,False,none,2126,6,M308
149.02,14,0,0,3,5,1490.2,1,1,0,False,none,2127,14,M228
23.44,14,0,0,5,4,234.4,1,1,0,False,none,2128,13,M428
35.13,14,0,0,5,4,351.3,1,1,0,False,none,2129,3,M476
23.78,14,0,0,7,2,237.8,1,1,0,False,none,2130,11,M291
